strategy,rsi_period,sma_period,rsi_buy,rsi_sell,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
rsi_sma,14,10,40,70,10283.91,2.84,5.79,-0.91,2025-07-04T09:40:05.222318
rsi_sma,14,10,35,60,10170.24,1.7,4.49,-0.66,2025-07-04T09:40:05.269769
rsi_sma,14,10,35,65,10274.92,2.75,8.1,-0.5,2025-07-04T09:40:05.317204
rsi_sma,14,10,35,70,10218.62,2.19,6.26,-0.51,2025-07-04T09:40:05.364480
rsi_sma,14,10,30,60,9947.92,-0.52,-5.76,-0.58,2025-07-04T09:40:05.411656
rsi_sma,14,10,30,65,10098.31,0.98,4.86,-0.21,2025-07-04T09:40:05.458988
rsi_sma,14,10,30,70,10096.53,0.97,4.77,-0.23,2025-07-04T09:40:05.506238
rsi_sma,14,15,40,60,10165.87,1.66,3.92,-0.83,2025-07-04T09:40:05.553593
rsi_sma,14,15,40,65,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:05.600731
rsi_sma,14,15,40,70,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:05.647845
rsi_sma,14,15,35,60,10301.34,3.01,5.62,-0.16,2025-07-04T09:40:05.695044
rsi_sma,14,15,35,65,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:05.742812
rsi_sma,14,15,35,70,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:05.790141
rsi_sma,14,15,30,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:05.839305
rsi_sma,14,15,30,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:05.886962
rsi_sma,14,15,30,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:05.934197
rsi_sma,14,20,40,60,9994.82,-0.05,-2.11,-0.08,2025-07-04T09:40:05.982487
rsi_sma,14,20,40,65,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:06.036800
rsi_sma,14,20,40,70,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:06.084903
rsi_sma,14,20,35,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:06.132632
rsi_sma,14,20,35,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:06.180044
rsi_sma,14,20,35,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:06.227365
rsi_sma,14,20,30,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:06.274849
rsi_sma,14,20,30,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:06.322132
rsi_sma,14,20,30,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:06.369421
rsi_sma,14,30,40,60,9878.98,-1.21,-7.11,-1.42,2025-07-04T09:40:06.418200
rsi_sma,14,30,40,65,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:06.465873
rsi_sma,14,30,40,70,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:06.513457
rsi_sma,14,30,35,60,10036.92,0.37,4.13,-0.08,2025-07-04T09:40:06.561356
rsi_sma,14,30,35,65,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:06.609133
rsi_sma,14,30,35,70,9992.5,-0.08,-5.92,-0.08,2025-07-04T09:40:06.656468
rsi_sma,14,30,30,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:06.704977
rsi_sma,14,30,30,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:06.752462
rsi_sma,14,30,30,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:06.799689
rsi_sma,21,10,40,60,10039.31,0.39,2.45,-0.48,2025-07-04T09:40:06.850113
rsi_sma,21,10,40,65,10043.06,0.43,2.71,-0.44,2025-07-04T09:40:06.897475
rsi_sma,21,10,40,70,10207.83,2.08,6.88,-0.28,2025-07-04T09:40:06.944857
rsi_sma,21,10,35,60,10009.81,0.1,0.75,-0.36,2025-07-04T09:40:06.992387
rsi_sma,21,10,35,65,10019.17,0.19,1.46,-0.36,2025-07-04T09:40:07.040035
rsi_sma,21,10,35,70,10174.64,1.75,7.16,-0.17,2025-07-04T09:40:07.089917
rsi_sma,21,10,30,60,9964.38,-0.36,-7.25,-0.36,2025-07-04T09:40:07.141044
rsi_sma,21,10,30,65,9964.38,-0.36,-7.25,-0.36,2025-07-04T09:40:07.192146
rsi_sma,21,10,30,70,10111.78,1.12,5.54,-0.08,2025-07-04T09:40:07.243424
