strategy,rsi_period,sma_period,rsi_buy,rsi_sell,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
rsi_sma,14,10,30,60,9731.69,-2.68,-1.69,-4.34,2025-07-04T09:40:54.881424
rsi_sma,14,10,30,65,9535.58,-4.64,-2.71,-4.64,2025-07-04T09:40:54.929196
rsi_sma,14,10,30,70,10075.62,0.76,0.38,-4.34,2025-07-04T09:40:54.976818
rsi_sma,14,15,40,60,9667.79,-3.32,-1.48,-5.81,2025-07-04T09:40:55.028357
rsi_sma,14,15,40,65,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:55.078186
rsi_sma,14,15,40,70,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:55.126728
rsi_sma,14,15,35,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:55.178075
rsi_sma,14,15,35,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:55.226040
rsi_sma,14,15,35,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:55.273864
rsi_sma,14,15,30,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:55.321609
rsi_sma,14,15,30,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:55.369392
rsi_sma,14,15,30,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:55.417167
rsi_sma,14,20,40,60,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:55.464914
rsi_sma,14,20,40,65,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:55.512729
rsi_sma,14,20,40,70,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:55.560877
rsi_sma,14,20,35,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:55.608902
rsi_sma,14,20,35,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:55.656794
rsi_sma,14,20,35,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:55.704790
rsi_sma,14,20,30,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:55.752613
rsi_sma,14,20,30,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:55.800553
rsi_sma,14,20,30,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:55.859395
rsi_sma,14,30,40,60,9534.82,-4.65,-3.1,-4.72,2025-07-04T09:40:55.913569
rsi_sma,14,30,40,65,9577.5,-4.23,-3.01,-4.29,2025-07-04T09:40:55.964258
rsi_sma,14,30,40,70,9472.58,-5.27,-3.97,-5.27,2025-07-04T09:40:56.022867
rsi_sma,14,30,35,60,9989.93,-0.1,-3.76,-0.1,2025-07-04T09:40:56.086040
rsi_sma,14,30,35,65,9581.38,-4.19,-3.01,-4.19,2025-07-04T09:40:56.162205
rsi_sma,14,30,35,70,9623.93,-3.76,-3.02,-3.76,2025-07-04T09:40:56.222427
rsi_sma,14,30,30,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:56.275801
rsi_sma,14,30,30,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:56.328565
rsi_sma,14,30,30,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:56.399402
rsi_sma,21,10,40,60,9580.92,-4.19,-1.84,-5.97,2025-07-04T09:40:56.450507
rsi_sma,21,10,40,65,9726.94,-2.73,-1.73,-4.73,2025-07-04T09:40:56.499470
rsi_sma,21,10,40,70,9473.07,-5.27,-2.85,-6.99,2025-07-04T09:40:56.547412
rsi_sma,21,10,35,60,9182.86,-8.17,-4.18,-8.17,2025-07-04T09:40:56.595027
rsi_sma,21,10,35,65,9581.59,-4.18,-3.02,-4.38,2025-07-04T09:40:56.642854
rsi_sma,21,10,35,70,9301.49,-6.99,-4.12,-6.99,2025-07-04T09:40:56.690629
rsi_sma,21,10,30,60,9680.44,-3.2,-2.88,-3.34,2025-07-04T09:40:56.738440
rsi_sma,21,10,30,65,10250.14,2.5,3.02,-0.08,2025-07-04T09:40:56.786072
rsi_sma,21,10,30,70,9986.02,-0.14,-4.18,-0.14,2025-07-04T09:40:56.833744
rsi_sma,21,15,40,60,9279.8,-7.2,-3.87,-7.2,2025-07-04T09:40:56.881525
rsi_sma,21,15,40,65,9550.68,-4.49,-3.04,-4.52,2025-07-04T09:40:56.934982
rsi_sma,21,15,40,70,9550.68,-4.49,-3.04,-4.52,2025-07-04T09:40:56.982816
rsi_sma,21,15,35,60,9256.19,-7.44,-4.02,-7.44,2025-07-04T09:40:57.030662
rsi_sma,21,15,35,65,9563.59,-4.36,-2.95,-4.52,2025-07-04T09:40:57.078422
rsi_sma,21,15,35,70,9563.59,-4.36,-2.95,-4.52,2025-07-04T09:40:57.127357
rsi_sma,21,15,30,60,9666.2,-3.34,-2.88,-3.49,2025-07-04T09:40:57.177960
rsi_sma,21,15,30,65,9986.02,-0.14,-4.18,-0.14,2025-07-04T09:40:57.225586
rsi_sma,21,15,30,70,9986.02,-0.14,-4.18,-0.14,2025-07-04T09:40:57.273342
rsi_sma,21,20,40,60,9540.47,-4.6,-2.81,-4.6,2025-07-04T09:40:57.320778
rsi_sma,21,20,40,65,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:57.368323
rsi_sma,21,20,40,70,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:57.415974
rsi_sma,21,20,35,60,9570.35,-4.3,-3.01,-4.3,2025-07-04T09:40:57.463921
rsi_sma,21,20,35,65,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:57.511673
rsi_sma,21,20,35,70,9992.5,-0.08,-2.96,-0.08,2025-07-04T09:40:57.559333
