strategy,macd_short,macd_long,macd_signal,rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std,volume_threshold,capital_final,total_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,avg_win,avg_loss,timestamp
multi_indicator,10,24,9,14,25,75,20,2.0,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:55.757931
multi_indicator,10,24,9,14,25,70,20,2.0,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:54.979407
multi_indicator,10,24,9,14,25,70,20,2.0,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:54.874663
multi_indicator,10,24,9,14,25,70,20,1.8,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:54.770210
multi_indicator,10,24,9,14,25,70,20,1.8,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:54.669253
multi_indicator,10,24,9,16,25,75,20,2.0,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:59.697612
multi_indicator,10,24,9,16,25,75,20,2.0,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:59.578591
multi_indicator,10,24,9,16,25,75,20,1.8,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:59.475087
multi_indicator,10,24,9,16,25,75,20,1.8,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:59.351489
multi_indicator,10,24,9,16,25,70,20,2.0,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:58.764065
multi_indicator,10,24,9,16,25,70,20,2.0,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:58.640239
